platform,contest_id,start_date,handle,total_rewards_advertised_usd,reward_amount,handle_rank,mediums,highs,total_hms
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,perseus,20000,2182.7091744013396,1,1,1,2
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,zhuying,20000,1672.6269950384794,2,3,1,4
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,bladesec,20000,1672.6269950384794,2,3,1,4
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,3n0ch,20000,1672.234806617284,3,1,1,2
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,zraxx,20000,1653.8178399672211,4,2,1,3
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,mahdirostami,20000,1653.8178399672211,4,2,1,3
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,pyro,20000,1558.9379144219581,5,,1,1
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,0xphantom,20000,1558.9379144219581,5,,1,1
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,tourist2824,20000,795.72907734938235,6,1,,1
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,shikhar229169,20000,681.47871037714413,7,1,,1
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,philbugcatcher,20000,568.377912392416,8,1,,1
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,0xziin,20000,568.18181818181824,9,,,
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,ast3ros,20000,208.37291195118644,10,4,,4
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,0xb0k0,20000,158.61564907345621,11,1,,1
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,anonymousjoe,20000,132.75345807912888,12,2,,2
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,0xciphky,20000,113.49298640592357,13,2,,2
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,0xg0p1,20000,113.49298640592357,13,2,,2
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,0xaraj,20000,113.49298640592357,13,2,,2
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,chatgpt,20000,113.49298640592357,13,2,,2
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,0xbrivan2,20000,113.49298640592357,13,2,,2
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,irondevx,20000,113.2968921953259,14,1,,1
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,pawelkedzia,20000,113.2968921953259,14,1,,1
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,hyperhorse,20000,95.076019755860528,15,3,,3
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,nnez,20000,95.076019755860528,15,3,,3
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,amarfares,20000,94.87992554526285,16,2,,2
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,galturok,20000,94.87992554526285,16,2,,2
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,abhishekthakur,20000,94.87992554526285,16,2,,2
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,eeyore,20000,94.683831334665172,17,1,,1
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,johny37,20000,94.683831334665172,17,1,,1
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,zxriptor,20000,94.683831334665172,17,1,,1
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,greed,20000,94.683831334665172,17,1,,1
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,joshuajee,20000,94.683831334665172,17,1,,1
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,jennifersun,20000,0.392188421195352,18,2,,2
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,0xlight,20000,0.392188421195352,18,2,,2
Codehawks,clzrc4ntn00015mxghjmoc4wt,2024-08-20,ragnarok,20000,0.392188421195352,18,2,,2
